Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 08/17/2020,,Start Date, 08/17/2020,,Start Date, 08/17/2020,
1,Start Time, 18-00-34,,Start Time, 18-00-48,,Start Time, 18-00-56,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P6-6,,Paradigm, P6-6,,Paradigm, P6-6,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,1300,,0113,222,,0113,229,
10,Paradigm,G5_P6.6_v2,,Paradigm,G5_P6.6_v2,,Paradigm,G5_P6.6_v2,
11,Trial_Duration,1500,,Trial_Duration,1500,,Trial_Duration,1500,
12,Delay_Window,6000,,Delay_Window,6000,,Delay_Window,6000,
13,7070,1,,7070,1,,7070,1,
14,8070,1,,8070,1,,8070,1,
15,9070,1,,9070,1,,9070,1,
16,5521,1,,5521,1,,5521,1,
17,9071,118668,,8071,4624834,,8071,990475,
18,9070,119149,,7529,,0.0,7529,,0.0
19,9071,119219,,8529,,0.0,8529,,0.0
20,9070,119271,,9529,,0.0,9529,,0.0
21,9071,119762,,5520,4624834,,5520,990475,
22,9070,120051,,8070,4624954,,8070,991138,
23,9071,120698,,8071,4625157,,71559,,0.0
24,9070,120752,,8070,4625387,,81559,,0.0
25,9071,122631,,71559,,0.0,91559,,0.0
26,9070,122685,,81559,,1.0,91171,996475,
27,9071,122697,,91559,,0.0,8071,996709,
28,9070,122723,,71171,4630834,,91160,996709,
29,9071,122766,,7071,4631959,,8070,996780,
30,9070,123307,,71170,4631959,,8071,996804,
31,9071,123447,,81271,4631960,,8070,997001,
32,9070,123696,,81270,4632033,,8071,1000662,
33,9071,124815,,7070,4632099,,8070,1001520,
34,9070,124845,,8071,4632458,,8071,1003192,
35,9071,124882,,81170,4634961,,8070,1004396,
36,9070,125167,,71549,,0.0,71519,,0.0
37,8071,128078,,81549,,1.0,81519,,3.0
38,7529,,0.0,91549,,0.0,91519,,0.0
39,8529,,0.0,8070,4636212,,5521,1056710,
40,9529,,10.0,71519,,0.0,8071,1457125,
41,5520,128079,,81519,,0.0,7529,,0.0
42,8070,128190,,91519,,0.0,8529,,0.0
43,71559,,0.0,5521,4694961,,9529,,0.0
44,81559,,0.0,8071,4696660,,5520,1457125,
45,91559,,0.0,7529,,0.0,8070,1457403,
46,91171,134079,,8529,,0.0,9071,1458235,
47,91540,135580,,9529,,0.0,9070,1458259,
48,71519,,0.0,5520,4696662,,9071,1458457,
49,81519,,0.0,8070,4696693,,9070,1458612,
50,91519,,0.0,9071,4701418,,9071,1458627,
51,5521,180580,,9070,4702153,,9070,1458791,
52,9071,257113,,9071,4702446,,9071,1460799,
53,9070,257526,,9070,4702524,,9070,1461076,
54,8071,259174,,71559,,0.0,9071,1462858,
55,7529,,0.0,81559,,0.0,71559,,0.0
56,8529,,0.0,91559,,2.0,81559,,0.0
57,9529,,1.0,71171,4702662,,91559,,5.0
58,5520,259175,,7071,4703946,,91171,1463126,
59,8070,259372,,71170,4703946,,9070,1463795,
60,9071,260248,,81271,4703946,,9071,1463828,
61,9070,260682,,81270,4704019,,91170,1463829,
62,9071,260852,,7070,4704019,,81271,1463829,
63,9070,260957,,8071,4704387,,81270,1463902,
64,9071,262081,,81170,4706947,,9070,1463951,
65,9070,262133,,71549,,0.0,8071,1464463,
66,9071,262431,,81549,,1.0,81170,1466830,
67,9070,262533,,91549,,0.0,71549,,0.0
68,9071,262740,,8070,4707425,,81549,,1.0
69,9070,262776,,8071,4711705,,91549,,0.0
70,9071,262795,,8070,4711853,,8070,1487594,
71,9070,262855,,8071,4712579,,9071,1490977,
72,9071,264145,,8070,4712785,,9070,1491064,
73,9070,264596,,8071,4712904,,9071,1494677,
74,9071,265133,,8070,4713186,,9070,1495572,
75,71559,,0.0,8071,4713295,,71519,,0.0
76,81559,,0.0,8070,4713315,,81519,,0.0
77,91559,,8.0,8071,4713415,,91519,,2.0
78,71171,265175,,8070,4713475,,5521,1526830,
79,9070,265414,,8071,4713630,,9071,1527848,
80,7071,266536,,8070,4714455,,9070,1527864,
81,71170,266537,,8071,4714488,,9071,1527899,
82,81271,266537,,8070,4714644,,9070,1527998,
83,81270,266610,,8071,4714769,,9071,1528033,
84,7070,266617,,8070,4714787,,9070,1528174,
85,8071,267020,,8071,4714861,,8071,1532364,
86,81170,269538,,8070,4715077,,7529,,0.0
87,71549,,0.0,8071,4715104,,8529,,0.0
88,81549,,1.0,8070,4716603,,9529,,3.0
89,91549,,0.0,8071,4717315,,5520,1532365,
90,8070,285296,,8070,4717485,,8070,1532649,
91,71519,,0.0,8071,4717500,,71559,,0.0
92,81519,,0.0,8070,4717616,,81559,,0.0
93,91519,,0.0,8071,4717740,,91559,,0.0
94,5521,306538,,8070,4717834,,91171,1538365,
95,8071,314776,,8071,4717928,,9071,1539283,
96,7529,,0.0,8070,4739372,,91170,1539283,
97,8529,,0.0,71519,,0.0,81271,1539284,
98,9529,,0.0,81519,,14.0,81270,1539357,
99,5520,314776,,91519,,0.0,9070,1539394,
100,8070,315000,,5521,4751947,,8071,1539794,
101,8071,315038,,8071,4757419,,81170,1542285,
102,8070,315080,,7529,,0.0,71549,,0.0
103,8071,317040,,8529,,0.0,81549,,1.0
104,8070,317972,,9529,,0.0,91549,,0.0
105,9071,319671,,5520,4757420,,8070,1588589,
106,9070,320297,,8070,4757614,,71519,,0.0
107,71559,,0.0,9071,4762992,,81519,,0.0
